match_id,battle_id,team,player,hero,kill,death,assist,kda,gold,win
2026011503,48251408_50_1768483409,佛山DRG,呆呆,少司缘,1,1,9,10.0,11575,1
2026011503,48251408_50_1768483409,KSG,一笙,东皇太一,1,2,3,2.0,9155,0
2026011503,48251408_50_1768483409,佛山DRG,梦岚,敖隐,4,2,4,4.0,13850,1
2026011503,48251408_50_1768483409,佛山DRG,柚子,女娲,2,0,8,10.0,12324,1
2026011503,48251408_51_1768485753,佛山DRG,小小阳,杨戬,2,1,0,2.0,6386,0
2026011503,48251408_51_1768485753,佛山DRG,花缘,马超,2,2,1,1.5,8606,0
2026011503,48251408_51_1768485753,KSG,句号,宫本武藏,3,0,2,5.0,8382,1
2026011503,48251408_51_1768485753,KSG,小屿,敖隐,1,0,5,6.0,7819,1
2026011503,48251408_51_1768485753,KSG,流浪,女娲,2,0,4,6.0,6797,1
2026011503,48251408_51_1768485753,KSG,无言,姬小满,1,3,4,1.7,7475,1
2026011503,48251408_51_1768485753,佛山DRG,呆呆,朵莉亚,0,1,4,4.0,4801,0
2026011503,48251408_51_1768485753,KSG,一笙,空空儿,0,1,5,5.0,5163,1
2026011503,48251408_51_1768485753,佛山DRG,梦岚,李元芳,0,2,1,0.5,7010,0
2026011503,48251408_51_1768485753,佛山DRG,柚子,武则天,0,1,3,3.0,4922,0
2026011403,1222656528_5_1768394596,成都AG超玩会,大帅,盾山,1,1,9,10.0,8167,1
2026011403,1222656528_5_1768394596,成都AG超玩会,染详,裴擒虎,3,3,5,2.7,12666,1
2026011403,1222656528_5_1768394596,成都AG超玩会,小凡,沈梦溪,2,0,9,11.0,8708,1
2026011403,1222656528_5_1768394596,成都AG超玩会,小俞,艾琳,2,0,8,10.0,12470,1
2026011403,1222656528_5_1768394596,北京WB,听悦,西施,1,2,6,3.5,6287,0
2026011403,1222656528_5_1768394596,成都AG超玩会,轩染,蒙恬,3,3,8,3.7,9718,1
2026011403,1222656528_5_1768394596,北京WB,玖欣,太乙真人,0,4,4,1.0,6205,0
2026011403,1222656528_5_1768394596,北京WB,小麦,孙尚香,1,1,4,5.0,11628,0
2026011403,1222656528_5_1768394596,北京WB,梓墨,吕布,4,2,2,3.0,9823,0
2026011403,1222656528_5_1768394596,北京WB,暖阳,镜,1,2,4,2.5,11067,0
2026011803,1222656528_12_1768738546,长沙TES.A,帆帆,廉颇,1,2,8,4.5,7317,1
2026011803,1222656528_12_1768738546,长沙TES.A,蓝桉,公孙离,6,2,4,5.0,12196,1
2026011803,1222656528_12_1768738546,长沙TES.A,无幻,狂铁,2,0,7,9.0,9797,1
2026011803,1222656528_12_1768738546,北京WB,听悦,沈梦溪,0,3,3,1.0,7670,0
