league_id,hero_name,battle_count,win_rate,avg_kda,ban_rate,pick_rate
20260001,芈月,2,0.5,3.15,0.0,0.0035
20260001,老夫子,24,0.625,3.8333,0.0873,0.0419
20260001,娜可露露,32,0.5625,4.3687,0.0262,0.0558
20260001,干将莫邪,7,0.5714,3.0714,0.0017,0.0122
20260001,镜,78,0.5769,4.9231,0.2775,0.1361
20250004,小乔,35,0.4286,4.2857,0.1437,0.2011
20250004,嬴政,24,0.3333,3.9708,0.0517,0.1379
20250004,女娲,49,0.551,5.598,0.2069,0.2816
20250004,杨玉环,19,0.5263,5.2632,0.046,0.1092
20250004,吕布,7,0.2857,4.2857,0.046,0.0402
20250004,刘邦,2,0.5,4.35,0.0,0.0115
20250004,艾琳,31,0.6452,5.3,0.1092,0.1782
20250004,海诺,13,0.6923,3.9231,0.1264,0.0747
20250004,铠,18,0.4444,3.7278,0.0862,0.1034
20250004,苍,38,0.4737,3.8737,0.046,0.2184
20250004,墨子,5,0.6,5.9,0.046,0.0287
20250004,金蝉,1,1.0,7.0,0.0057,0.0057
20250004,东皇太一,4,0.5,3.375,0.0057,0.023
20250004,苏烈,53,0.4906,4.5849,0.1552,0.3046
20250004,少司缘,33,0.4545,5.5576,0.1034,0.1897
20250004,关羽,27,0.5926,4.4,0.4425,0.1552
20250004,狂铁,57,0.4912,3.1825,0.2701,0.3276
20250004,裴擒虎,30,0.4667,3.63,0.1724,0.1724
20250004,甄姬,13,0.6154,6.0,0.0402,0.0747
20250004,梦奇,4,0.5,5.0,0.0,0.023
20250004,镜,30,0.5333,4.4733,0.3046,0.1724
20250004,孙策,3,0.3333,1.2667,0.0,0.0172
20250004,孙权,8,0.5,3.4625,0.0287,0.046
20250004,鲁班大师,32,0.5938,5.2563,0.6437,0.1839
20250004,娜可露露,6,0.8333,5.5,0.0575,0.0345
20250004,亚连,1,0.0,0.0,0.0,0.0057
20250004,兰陵王,1,1.0,2.4,0.0,0.0057
20250004,嫦娥,15,0.4667,3.92,0.0632,0.0862
20250004,姜子牙,2,0.0,0.25,0.0057,0.0115
20250004,敖隐,35,0.5143,4.6143,0.2184,0.2011
20250004,钟馗,2,1.0,3.65,0.0,0.0115
20250004,伽罗,3,0.3333,4.0,0.0,0.0172
20250004,韩信,1,0.0,2.3,0.0057,0.0057
20250004,高渐离,1,0.0,1.0,0.0,0.0057
20250004,蒙恬,17,0.5294,2.7412,0.1609,0.0977
20250004,不知火舞,34,0.6471,4.5676,0.2759,0.1954
20250004,牛魔,6,0.3333,2.9833,0.0115,0.0345
20250004,杨戬,38,0.5789,4.2632,0.2126,0.2184
20250004,诸葛亮,2,0.0,3.0,0.0,0.0115
20250004,鲁班七号,8,0.375,4.15,0.0805,0.046
20250004,戈娅,56,0.5179,5.6696,0.1724,0.3218
20250004,盾山,41,0.5366,4.2098,0.7241,0.2299
20250004,夏侯惇,26,0.4231,2.6346,0.0575,0.1494
20250004,橘右京,27,0.5185,5.8333,0.0977,0.1552
